"name","fonction_1","fonction_2","fonction_3","fonction_4","fonction_5","fonction_6","fonction_7","fonction_8","fonction_9","fonction_10","fonction_11","nom_simplifie"
"2-ACETONAPHTHONE","Agent masquant","Agent parfumant","","","","","","","","","",""
"2-ACETYLHYDROQUINONE","Antioxydant","Agent éclaircissant","Agent d'entretien de la peau","","","","","","","","",""
"2-AMINO-3-HYDROXYPYRIDINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-AMINO-3-NITROPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"2-AMINO-4-HYDROXYETHYLAMINOANISOLE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-AMINO-5-ETHYLPHENOL HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"2-AMINO-6-CHLORO-4-NITROPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"2-AMINOBUTANOL","Régulateur de pH","","","","","","","","","","",""
"2-BENZYLHEPTANOL","Agent masquant","Agent parfumant","","","","","","","","","",""
"2-BROMO-2-NITROPROPANE-1,3-DIOL","Conservateur","","","","","","","","","","",""
"2-CHLORO-5-NITRO-N-HYDROXYETHYL-P-PHENYLENEDIAMINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-CHLORO-P-PHENYLENEDIAMINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-CHLORO-P-PHENYLENEDIAMINE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-ETHYLHEXANOL","Non classé","","","","","","","","","","",""
"2-ETHYLHEXYL GLUCOSIDE","","","","","","","","","","","",""
"2-ETHYLHEXYLAL","Solvant","","","","","","","","","","",""
"2-HEXANOL","Agent parfumant","","","","","","","","","","",""
"2-HYDROXYETHYL ACRYLATE","Agent filmogène","","","","","","","","","","",""
"2-HYDROXYETHYL PICRAMIC ACID","Agent colorant pour cheveux","","","","","","","","","","",""
"2-HYDROXYETHYLAMINO-5-NITROANISOLE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-ISOPROPOXYETHYL SALICYLATE","","","","","","","","","","","",""
"2-METHOXYMETHYL-P-PHENYLENEDIAMINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-METHYL 5-CYCLOHEXYLPENTANOL","Déodorant","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","",""
"2-METHYL-1-NAPHTHOL","Agent colorant pour cheveux","","","","","","","","","","",""
"2-METHYL-5-HYDROXYETHYLAMINOPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"2-METHYLPENT-2-ENOIC ACID","Agent parfumant","","","","","","","","","","",""
"2-METHYLPROPANAL","Agent d'entretien des ongles","Agent parfumant","","","","","","","","","",""
"2-METHYLPROPANOL","Agent parfumant","","","","","","","","","","",""
"2-METHYLRESORCINOL","Agent colorant pour cheveux","","","","","","","","","","",""
"2-METHYLUNDECANOL","Agent parfumant","","","","","","","","","","",""
"2-NAPHTHOL","Agent colorant pour cheveux","Agent parfumant","","","","","","","","","",""
"2-NITRO-5-GLYCERYL METHYLANILINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-NITRO-P-PHENYLENEDIAMINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-NITRO-P-PHENYLENEDIAMINE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2-O-ETHYL ASCORBIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"2-OLEAMIDO-1,3-OCTADECANEDIOL","Agent d'entretien de la peau","","","","","","","","","","",""
"2-OLEAMIDO-1,3,4-OCTADECATRIYL PROLINATE","Antipelliculaire","Anti-séborrhée","Conditionneur capillaire","Agent d'entretien de la peau","","","","","","","",""
"2-PROPYLHEPTANOL ETHOXYLATED, PROPOXYLATED","","","","","","","","","","","",""
"2-SEC-BUTYLCYCLOHEXANONE","Agent parfumant","","","","","","","","","","",""
"2-T-BUTYLCYCLOHEXYL ACETATE","Agent masquant","Agent parfumant","","","","","","","","","",""
"2-TERT-BUTYLHYDROQUINONE METHYL ETHER","Agent parfumant","","","","","","","","","","",""
"2,2'-IMINODIETHANOL","","","","","","","","","","","",""
"2,2'-METHYLENEBIS 4-AMINOPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"2,3-BUTANEDIOL","Humectant","Agent masquant","Agent d'entretien de la peau","Solvant","","","","","","","",""
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,4-DIAMINOPHENOXYETHANOL HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"2,4-DIAMINOPHENOXYETHANOL SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE","Agent masquant","Tonifiant","Agent parfumant","","","","","","","","",""
"2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL","Agent parfumant","","","","","","","","","","",""
"2,5-DIHYDROXYBENZOIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"2,5-DIMETHYLPYRAZINE","Agent parfumant","","","","","","","","","","",""
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DIAMINOPYRIDINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DIAMINOPYRIDINE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DICARBOXYPYRIDINE","Agent de chélation","","","","","","","","","","",""
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DIHYDROXYETHYLAMINOTOLUENE","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"2,6-DIMETHYL-7-OCTEN-2-OL","Agent masquant","Agent parfumant","","","","","","","","","",""
"2,6-DIMETHYLHEPTANOL","Agent parfumant","","","","","","","","","","",""
"2,7-NAPHTHALENEDIOL","Agent colorant pour cheveux","","","","","","","","","","",""
"3-(P-CUMENYL)-2-METHYLPROPIONALDEHYDE","Agent parfumant","","","","","","","","","","",""
"3-AMINO-2,4-DICHLOROPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"3-AMINO-2,4-DICHLOROPHENOL HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"3-AMINOPROPANE SULFONIC ACID","Hydrotrope","Tensioactif","","","","","","","","","",""
"3-ASCORBYL CARBONYL DIPEPTIDE-17","Agent d'entretien de la peau","","","","","","","","","","",""
"3-BENZYLIDENE CAMPHOR","Absorbant UV","","","","","","","","","","",""
"3-CARENE","Agent parfumant","","","","","","","","","","",""
"3-ETHYLAMINO-P-CRESOL SULFATE","Conditionneur capillaire","","","","","","","","","","",""
"3-GLYCERYL ASCORBATE","Antioxydant","Humectant","","","","","","","","","",""
"3-HEPTENYL ISOBUTYRATE","Agent parfumant","","","","","","","","","","",""
"3-HEXENAL","Agent parfumant","","","","","","","","","","",""
"3-HEXENOL","Agent masquant","Agent d'entretien de la peau","Agent parfumant","","","","","","","","",""
"3-HEXENYL ACETATE","Agent parfumant","","","","","","","","","","",""
"3-HYDROXYBENZOIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"3-HYDROXYBUTYRATE/4-HYDROXYBUTYRATE COPOLYMER","Agent Abrasif","Agent de contrôle de la viscosité","","","","","","","","","",""
"3-LAURYLGLYCERYL ASCORBATE","Antioxydant","Humectant","Agent d'entretien de la peau","","","","","","","","",""
"3-METHOXYBUTANOL","Solvant","","","","","","","","","","",""
"3-METHYL-4-(2,4,6-TRIMETHYL-3-CYCLOHEXENYL)-3-BUTEN-2-ONE","Agent parfumant","","","","","","","","","","",""
"3-METHYL-5-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)PENT-4-EN-2-OL","Agent parfumant","","","","","","","","","","",""
"3-METHYLAMINO-4-NITROPHENOXYETHANOL","Agent colorant pour cheveux","","","","","","","","","","",""
"3-NITRO-P-HYDROXYETHYLAMINOPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"3-O-CETYL ASCORBIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"3-O-ETHYL ASCORBIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"3-OCTANOL","Agent parfumant","","","","","","","","","","",""
"3-P-CUMENYL PROPIONALDEHYDE","Agent parfumant","","","","","","","","","","",""
"3-TERT-BUTYLCYCLOHEXYL ACETATE","Agent parfumant","","","","","","","","","","",""
"3,3,5-TRIMETHYLCYCLOHEXYL SUCCINATE DIMETHYLAMIDE","Agent d'entretien de la peau","","","","","","","","","","",""
"3,4-DIHYDROXYBENZOIC ACID","Agent de protection de la peau","","","","","","","","","","",""
"3,7-DIMETHYL-3,6-OCTADIENAL","Agent parfumant","","","","","","","","","","",""
"3,7-DIMETHYL-4,6-OCTADIEN-3-OL","Agent parfumant","","","","","","","","","","",""
"4-AMINO-2-HYDROXYTOLUENE","Agent colorant pour cheveux","","","","","","","","","","",""
"4-AMINO-2-HYDROXYTOLUENE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID","Agent colorant pour cheveux","","","","","","","","","","",""
"4-AMINO-3-NITROPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"4-AMINO-M-CRESOL","Agent colorant pour cheveux","","","","","","","","","","",""
"4-BUTYLRESORCINOL","Antioxydant","","","","","","","","","","",""
"4-CHLORORESORCINOL","Agent colorant pour cheveux","","","","","","","","","","",""
"4-DIMETHYLMETHYLENECYCLOHEXYL-BUTAN-2-ONE","Agent parfumant","","","","","","","","","","",""
"4-ETHYLGUAIACOL","Agent parfumant","","","","","","","","","","",""
"4-FORMYLPHENYLBORONIC ACID","","","","","","","","","","","",""
"4-HYDROXYBENZOIC ACID","Agent masquant","Conservateur","","","","","","","","","",""
"4-HYDROXYBUTYL ACRYLATE","Agent fixant","","","","","","","","","","",""
"4-HYDROXYPROPYLAMINO-3-NITROPHENOL","Agent colorant pour cheveux","","","","","","","","","","",""
"4-METHYL-3-DECEN-5-OL","Agent parfumant","","","","","","","","","","",""
"4-METHYLBENZYL 4,5-DIAMINO PYRAZOLE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"4-METHYLBENZYLIDENE CAMPHOR","Agent stabilisant","Absorbant UV","Filtre UV","","","","","","","","",""
"4-NITRO-O-PHENYLENEDIAMINE","Agent colorant pour cheveux","","","","","","","","","","",""
"4-PCA DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER","Agent filmogène","Conditionneur capillaire","Agent de protection de la peau","Agent de contrôle de la viscosité","","","","","","","",""
"4-T-BUTYLCYCLOHEXANOL","Agent masquant","Agent parfumant","","","","","","","","","",""
"4-TERPINEOL","Agent masquant","","","","","","","","","","",""
"4-TERT-BUTYLCYCLOHEXYL ACETATE","Agent parfumant","","","","","","","","","","",""
"4-TERT-BUTYLDIHYDROCINNAMALDEHYDE","Agent parfumant","","","","","","","","","","",""
"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER","Agent filmogène","","","","","","","","","","",""
"4,8-DIMETHYL-4,9-DECADIENAL","Agent parfumant","","","","","","","","","","",""
"5-AMINO-2,6-DIMETHOXY-3-HYDROXYPYRIDINE","Agent colorant pour cheveux","","","","","","","","","","",""
"5-AMINO-4-CHLORO-O-CRESOL","Agent colorant pour cheveux","","","","","","","","","","",""
"5-AMINO-6-CHLORO-O-CRESOL","Antimicrobien","Agent colorant pour cheveux","","","","","","","","","",""
"5-BROMO-5-NITRO-1,3-DIOXANE","Conservateur","","","","","","","","","","",""
"5-ETHYL-4-HYDROXY-2-METHYLFURAN-3(2H)-ONE","Agent parfumant","","","","","","","","","","",""
"5-METHYL-ALPHA-IONONE","Agent parfumant","","","","","","","","","","",""
"5,5,6-TRIMETHYLBICYCLOHEPT-2-YLCYCLOHEXANOL","Agent parfumant","","","","","","","","","","",""
"6-AMINO-M-CRESOL","Agent colorant pour cheveux","","","","","","","","","","",""
"6-AMINO-O-CRESOL","Agent colorant pour cheveux","","","","","","","","","","",""
"6-HYDROXYINDOLE","Agent colorant pour cheveux","","","","","","","","","","",""
"6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"6-METHYL COUMARIN","Agent masquant","Agent parfumant","","","","","","","","","",""
"7-DEHYDROCHOLESTEROL","Stabilisateur d'émulsion","Agent d'entretien de la peau","Agent de contrôle de la viscosité","","","","","","","","",""
"A-TERPINYL ACETATE","Agent parfumant","","","","","","","","","","",""
"ABALONE EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ABALONE SHELL POWDER","Agent fixant","Agent de foisonnement","Opacifiant","Agent de protection de la peau","","","","","","","",""
"ABELIOPHYLLUM DISTICHUM EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ABELMOSCHUS ESCULENTUS FRUIT EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ABIES ALBA CONE EXTRACT","Agent parfumant","","","","","","","","","","",""
"ABIES ALBA CONE OIL","Agent parfumant","","","","","","","","","","",""
"ABIES ALBA EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ABIES ALBA LEAF CERA","Agent d'entretien de la peau","Agent de protection de la peau","Agent parfumant","","","","","","","","",""
"ABIES ALBA LEAF OIL","Agent masquant","Tonifiant","Agent parfumant","","","","","","","","",""
"ABIES ALBA LEAF WAX","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","","",""
"ABIES ALBA NEEDLE EXTRACT","Agent parfumant","","","","","","","","","","",""
"ABIES ALBA NEEDLE OIL","Agent parfumant","","","","","","","","","","",""
"ABIES ALBA SEED EXTRACT","Antimicrobien","Antioxydant","Agent éclaircissant","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","",""
"ABIES ALBA SEED OIL","Antimicrobien","Antioxydant","Agent d'entretien de la peau","","","","","","","","",""
"ABIES ALBA WOOD EXTRACT","Antioxydant","","","","","","","","","","",""
"ABIES BALSAMEA BALSAM EXTRACT","Agent parfumant","","","","","","","","","","",""
"ABIES BALSAMEA EXTRACT","Agent filmogène","Conditionneur capillaire","Agent parfumant","","","","","","","","",""
"ABIES BALSAMEA NEEDLE OIL","Agent masquant","Agent parfumant","","","","","","","","","",""
"ABIES BALSAMEA RESIN","Agent filmogène","Agent masquant","","","","","","","","","",""
"ABIES CONCOLOR BRANCH/LEAF/WOOD OIL","Agent masquant","","","","","","","","","","",""
"ABIES KOREANA LEAF EXTRACT","Conditionneur capillaire","Agent bouclant ou lissant (coiffant)","Agent d'entretien de la peau","","","","","","","","",""
"ABIES PECTINATA EXTRACT","Déodorant","Tonifiant","","","","","","","","","",""
"ABIES PECTINATA LEAF EXTRACT","Déodorant","Tonifiant","","","","","","","","","",""
"ABIES PECTINATA OIL","Agent masquant","Tonifiant","","","","","","","","","",""
"ABIES SACHALINENSIS LEAF EXTRACT","Humectant","Agent d'entretien de la peau","","","","","","","","","",""
"ABIES SIBIRICA NEEDLE EXTRACT","Agent parfumant","","","","","","","","","","",""
"ABIES SIBIRICA NEEDLE OIL","Agent parfumant","","","","","","","","","","",""
"ABIES SIBIRICA OIL","Agent masquant","Tonifiant","Agent parfumant","","","","","","","","",""
"ABRONIA VILLOSA LEAF EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ABRUS PRECATORIUS ROOT EXTRACT","Conditionneur capillaire","","","","","","","","","","",""
"ACACIA ARABICA BARK POWDER","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA ARABICA STEM BARK EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA CATECHU BARK EXTRACT","","","","","","","","","","","",""
"ACACIA CATECHU BARK POWDER","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA CATECHU CATECHINS","Antioxydant","","","","","","","","","","",""
"ACACIA CATECHU GUM","Agent filmogène","Agent masquant","","","","","","","","","",""
"ACACIA CATECHU LEAF/WOOD POWDER","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA CATECHU SEED EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA CATECHU SEED POWDER","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA CATECHU WOOD EXTRACT","Antioxydant","","","","","","","","","","",""
"ACACIA CONCINNA FRUIT EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA CONCINNA FRUIT POWDER","Conditionneur capillaire","","","","","","","","","","",""
"ACACIA CONCINNA POD EXTRACT","","","","","","","","","","","",""
"ACACIA DEALBATA FLOWER CERA","Emollient","Agent d'entretien de la peau","","","","","","","","","",""
"ACACIA DEALBATA FLOWER EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA DEALBATA LEAF EXTRACT","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","","",""
"ACACIA DEALBATA SEED EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA DECURRENS DEALBATA FLOWER EXTRACT","","","","","","","","","","","",""
"ACACIA DECURRENS EXTRACT","Astringent","Agent d'entretien de la peau","Tonifiant","","","","","","","","",""
"ACACIA DECURRENS FLOWER CERA","Emollient","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","",""
"ACACIA DECURRENS FLOWER EXTRACT","Agent masquant","Agent parfumant","","","","","","","","","",""
"ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS","","","","","","","","","","","",""
"ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS","Emollient","Agent d'entretien de la peau","","","","","","","","","",""
"ACACIA FARNESIANA EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA FARNESIANA FLOWER CERA","Agent de protection de la peau","","","","","","","","","","",""
"ACACIA FARNESIANA FLOWER EXTRACT","Agent parfumant","","","","","","","","","","",""
"ACACIA FARNESIANA FLOWER WAX","Agent arômatisant","","","","","","","","","","",""
"ACACIA FARNESIANA FLOWER/STEM EXTRACT","Astringent","Agent de contrôle de la viscosité","","","","","","","","","",""
"ACACIA FARNESIANA GUM","Astringent","Agent filmogène","Agent de contrôle de la viscosité","","","","","","","","",""
"ACACIA MEARNSII BARK EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA SALIGNA LEAF EXTRACT","Astringent","Agent d'entretien de la peau","","","","","","","","","",""
"ACACIA SENEGAL FLOWER/STEM EXTRACT","Agent de contrôle de la viscosité","","","","","","","","","","",""
"ACACIA SENEGAL GUM","Agent filmogène","Agent masquant","","","","","","","","","",""
"ACACIA SENEGAL GUM EXTRACT","Agent de contrôle de la viscosité","","","","","","","","","","",""
"ACACIA SEYAL GUM","Humectant","","","","","","","","","","",""
"ACACIA SEYAL GUM EXTRACT","Humectant","","","","","","","","","","",""
"ACACIA VICTORIAE FRUIT EXTRACT","Antioxydant","Conditionneur capillaire","Agent d'entretien de la peau","","","","","","","","",""
"ACACIA VICTORIAE SEED EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACACIA VICTORIAE SEED OIL","Antioxydant","Humectant","Agent d'entretien de la peau","","","","","","","","",""
"ACANTHOPANAX KOREANUM ADVENTITIOUS ROOT CULTURE EXTRACT","Antioxydant","Conditionneur capillaire","Humectant","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","",""
"ACANTHOPANAX KOREANUM EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACANTHOPANAX SENTICOSUS EXTRACT","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","","",""
"ACANTHOPANAX SENTICOSUS ROOT","Humectant","","","","","","","","","","",""
"ACANTHOPANAX SENTICOSUS ROOT EXTRACT","Agent d'entretien de la peau","Agent apaisant","","","","","","","","","",""
"ACANTHOPANAX SESSILIFLORUS BARK EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACANTHOPANAX SESSILIFLORUS ROOT EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACANTHOSICYOS HORRIDUS SEED OIL","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","","",""
"ACANTHUS MOLLIS LEAF EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACCA SELLOWIANA FRUIT EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACEFYLLINE METHYLSILANOL MANNURONATE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACER MONO SAP","Agent d'entretien de la peau","","","","","","","","","","",""
"ACER NIKOENSE BARK EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACER PALMATUM LEAF EXTRACT","Antioxydant","","","","","","","","","","",""
"ACER RUBRUM BARK EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACER RUBRUM EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACER SACCHARUM (SUGAR MAPLE) SAP EXTRACT","","","","","","","","","","","",""
"ACER SACCHARUM EXTRACT","Agent d'entretien de la peau","","","","","","","","","","",""
"ACER SACCHARUM SAP","Humectant","Agent d'entretien de la peau","","","","","","","","","",""
"ACER SACCHARUM SAP EXTRACT","Humectant","Agent d'entretien de la peau","","","","","","","","","",""
"ACETALDEHYDE","Agent masquant","","","","","","","","","","",""
"ACETAMIDE MEA","Sinergiste de mousse","Conditionneur capillaire","Humectant","Agent d'entretien de la peau","Tensioactif","Agent de contrôle de la viscosité","","","","","",""
"ACETAMIDOCAPROIC ACID","Antioxydant","","","","","","","","","","",""
"ACETAMIDOETHOXYETHANOL","Humectant","","","","","","","","","","",""
"ACETAMIDOETHYL PG-TRIMONIUM CHLORIDE","Antistatique","Conditionneur capillaire","","","","","","","","","",""
"ACETAMIDOPROPYL TRIMONIUM CHLORIDE","Antistatique","","","","","","","","","","",""
"ACETAMINOPHEN","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETANILID","Agent masquant","Agent parfumant","","","","","","","","","",""
"ACETIC ACID","Régulateur de pH","Agent masquant","","","","","","","","","",""
"ACETOACETOXYETHOXY METHACRYLATE","Agent filmogène","","","","","","","","","","",""
"ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE","Emollient","Agent d'entretien de la peau","","","","","","","","","",""
"ACETOBACTER/SACCHAROMYCES/RASPBERRY FRUIT EXTRACT/PUNICA GRANATUM FRUIT EXTRACT/WINE FERMENT FILTRATE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETOIN","Agent parfumant","","","","","","","","","","",""
"ACETONE","Dénaturant","Agent masquant","Solvant","","","","","","","","",""
"ACETOPHENONE","Agent masquant","","","","","","","","","","",""
"ACETOPHENONE/OXYMETHYLENE COPOLYMER","Agent filmogène","Agent d'entretien des ongles","Agent de contrôle de la viscosité","","","","","","","","",""
"ACETUM","Antistatique","","","","","","","","","","",""
"ACETYL ASPARTIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL CARBOXYMETHYL COCOYL GLYCINE","Agent de chélation","","","","","","","","","","",""
"ACETYL CARNITINE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL CARNITINE HCL","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL CARNOSINE","Agent de protection de la peau","","","","","","","","","","",""
"ACETYL CEDRENE","Agent masquant","","","","","","","","","","",""
"ACETYL CITRULL AMIDO ARGININE","Agent de protection de la peau","","","","","","","","","","",""
"ACETYL CYCLOHEXAPEPTIDE-34","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL CYSTEINE","Antioxydant","Agent d'entretien de la peau","","","","","","","","","",""
"ACETYL DECAPEPTIDE-3","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL DIPEPTIDE-1 CETYL ESTER","Conditionneur capillaire","Agent d'entretien de la peau","","","","","","","","","",""
"ACETYL DIPEPTIDE-3 AMINOHEXANOATE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL DIPEPTIDE-31 AMIDE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL FARNESYLCYSTEINE","Agent réducteur","Agent d'entretien de la peau","","","","","","","","","",""
"ACETYL GLUCOSAMINE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL GLUTAMIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL GLUTAMINE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL GLYCERYL RICINOLEATE","Emollient","Agent d'entretien de la peau","","","","","","","","","",""
"ACETYL GLYCYL BETA-ALANINE","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL HEPTAPEPTIDE-4","Humectant","Agent d'entretien de la peau","","","","","","","","","",""
"ACETYL HEPTAPEPTIDE-9","Agent d'entretien de la peau","","","","","","","","","","",""
"ACETYL HEXAMETHYL INDAN","Agent masquant","Agent parfumant","","","","","","","","","",""
